,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,label
0,0.0,3.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0433578062058
1,8.0,5.0,7.0,7.0,4.0,6.0,6.0,8.0,0.201108902994
2,6.0,3.0,2.0,6.0,3.0,3.0,6.0,4.0,0.136371759866
3,12.0,16.0,12.0,16.0,12.0,16.0,13.0,15.0,0.369622185358
4,5.0,4.0,5.0,5.0,4.0,4.0,7.0,4.0,0.106446058874
5,28.0,29.0,24.0,26.0,26.0,24.0,29.0,25.0,0.661859388467
6,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0332962200383
7,12.0,16.0,9.0,10.0,14.0,12.0,8.0,9.0,0.284305654118
8,4.0,3.0,12.0,7.0,8.0,4.0,3.0,6.0,0.1403387009
9,5.0,8.0,5.0,5.0,7.0,5.0,4.0,6.0,0.148865559254
10,5.0,5.0,5.0,10.0,13.0,11.0,5.0,7.0,0.173011581135
11,1.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0422846238092
12,17.0,12.0,15.0,11.0,18.0,13.0,15.0,15.0,0.359296935233
13,14.0,14.0,10.0,15.0,12.0,17.0,11.0,10.0,0.30970350511
14,6.0,7.0,10.0,9.0,6.0,6.0,8.0,10.0,0.20094665413
15,10.0,9.0,9.0,5.0,4.0,10.0,2.0,6.0,0.186904559815
16,25.0,21.0,17.0,14.0,18.0,21.0,20.0,19.0,0.476228380726
17,11.0,12.0,10.0,7.0,15.0,5.0,6.0,10.0,0.240090734202
18,14.0,18.0,16.0,12.0,15.0,13.0,20.0,12.0,0.390716003458
19,5.0,7.0,7.0,6.0,4.0,11.0,6.0,5.0,0.150977011688
20,19.0,14.0,12.0,9.0,17.0,13.0,22.0,11.0,0.338638282177
21,13.0,13.0,14.0,15.0,15.0,17.0,11.0,16.0,0.391529190159
22,20.0,24.0,24.0,17.0,20.0,24.0,17.0,19.0,0.484614872613
23,25.0,29.0,21.0,24.0,22.0,20.0,23.0,18.0,0.563056833027
24,13.0,16.0,16.0,19.0,19.0,17.0,16.0,17.0,0.414582112542
25,18.0,10.0,11.0,20.0,11.0,15.0,10.0,13.0,0.295600883372
26,5.0,11.0,13.0,12.0,14.0,16.0,12.0,14.0,0.313586869254
27,1.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0504630395155
28,0.0,5.0,3.0,2.0,3.0,4.0,5.0,8.0,0.109945065203
29,5.0,7.0,8.0,6.0,2.0,6.0,5.0,7.0,0.154410540335
30,7.0,12.0,9.0,11.0,13.0,9.0,12.0,13.0,0.253162919431
31,9.0,6.0,10.0,11.0,7.0,14.0,10.0,4.0,0.207187918521
32,2.0,3.0,4.0,5.0,7.0,5.0,5.0,2.0,0.0722820042281
33,8.0,13.0,14.0,13.0,15.0,10.0,14.0,14.0,0.322907851924
34,1.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0337144981844
35,9.0,6.0,11.0,14.0,6.0,9.0,7.0,9.0,0.207191445936
36,23.0,16.0,21.0,21.0,26.0,15.0,19.0,20.0,0.442895322756
37,15.0,10.0,10.0,13.0,14.0,11.0,20.0,19.0,0.301790795927
38,4.0,6.0,2.0,4.0,2.0,5.0,2.0,2.0,0.0902639768623
39,12.0,13.0,14.0,12.0,13.0,16.0,16.0,11.0,0.296593328784
40,27.0,23.0,26.0,25.0,21.0,25.0,34.0,26.0,0.663345777744
41,11.0,13.0,6.0,12.0,10.0,11.0,13.0,8.0,0.22971200579
42,1.0,2.0,3.0,3.0,3.0,5.0,1.0,2.0,0.0662135643431
43,12.0,11.0,11.0,9.0,6.0,7.0,12.0,4.0,0.228442691539
44,6.0,12.0,10.0,10.0,6.0,7.0,4.0,9.0,0.186555678359
45,2.0,6.0,1.0,9.0,9.0,7.0,9.0,2.0,0.172521136357
46,2.0,5.0,4.0,2.0,6.0,5.0,1.0,5.0,0.0977755430174
47,21.0,16.0,16.0,13.0,19.0,8.0,16.0,18.0,0.355209566103
48,28.0,18.0,20.0,25.0,28.0,23.0,25.0,30.0,0.601838137244
49,7.0,7.0,15.0,7.0,10.0,9.0,6.0,11.0,0.23599223545
50,12.0,8.0,12.0,16.0,11.0,14.0,8.0,12.0,0.267022084918
51,17.0,17.0,19.0,22.0,20.0,24.0,14.0,19.0,0.458248617649
52,4.0,8.0,9.0,5.0,12.0,7.0,9.0,4.0,0.198973666366
53,8.0,10.0,11.0,13.0,9.0,11.0,10.0,8.0,0.262888210469
54,9.0,7.0,10.0,9.0,10.0,13.0,12.0,9.0,0.226955823587
55,9.0,5.0,5.0,6.0,2.0,6.0,5.0,3.0,0.10495937433
56,5.0,8.0,12.0,7.0,11.0,7.0,4.0,7.0,0.182556637684
57,7.0,7.0,8.0,6.0,12.0,6.0,3.0,3.0,0.138973802864
58,19.0,18.0,17.0,20.0,18.0,17.0,11.0,17.0,0.412890070594
59,15.0,13.0,16.0,14.0,8.0,14.0,9.0,14.0,0.337887741873
60,7.0,7.0,10.0,6.0,9.0,13.0,8.0,18.0,0.207244543936
61,2.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,0.0420710941751
62,13.0,7.0,8.0,6.0,10.0,9.0,6.0,9.0,0.204030876824
63,13.0,16.0,10.0,5.0,4.0,10.0,11.0,9.0,0.207655889269
64,11.0,4.0,2.0,5.0,4.0,7.0,5.0,3.0,0.125472562365
65,7.0,15.0,9.0,8.0,13.0,8.0,12.0,12.0,0.292913206326
66,10.0,9.0,8.0,10.0,13.0,9.0,13.0,13.0,0.314135103183
67,13.0,17.0,14.0,12.0,13.0,19.0,16.0,16.0,0.346918229773
68,14.0,17.0,14.0,8.0,11.0,14.0,13.0,12.0,0.329032839417
69,7.0,19.0,16.0,15.0,14.0,18.0,15.0,11.0,0.343098021395
70,16.0,14.0,23.0,17.0,14.0,14.0,16.0,20.0,0.381701415504
71,16.0,16.0,15.0,15.0,19.0,14.0,19.0,19.0,0.419761596403
72,5.0,8.0,2.0,3.0,6.0,2.0,6.0,3.0,0.109649057042
73,24.0,17.0,27.0,18.0,20.0,22.0,22.0,27.0,0.564434199575
74,19.0,15.0,17.0,21.0,14.0,14.0,15.0,15.0,0.396934226686
75,1.0,6.0,4.0,4.0,4.0,6.0,1.0,1.0,0.102748836188
76,18.0,10.0,8.0,9.0,13.0,18.0,16.0,17.0,0.340845245022
77,13.0,8.0,8.0,11.0,11.0,14.0,9.0,8.0,0.301052317215
78,17.0,9.0,14.0,12.0,16.0,8.0,8.0,6.0,0.345289675721
79,7.0,9.0,12.0,9.0,10.0,9.0,7.0,12.0,0.261577652916
80,2.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0415801885263
81,6.0,5.0,5.0,8.0,2.0,15.0,5.0,9.0,0.198574036983
82,0.0,0.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0188959647315
83,9.0,8.0,11.0,8.0,5.0,7.0,10.0,6.0,0.188341814768
84,3.0,4.0,6.0,6.0,1.0,2.0,3.0,9.0,0.115908741471
85,18.0,18.0,18.0,15.0,23.0,19.0,19.0,19.0,0.445491182702
86,0.0,1.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0325060954329
87,15.0,20.0,21.0,16.0,20.0,15.0,17.0,16.0,0.464748416701
88,5.0,5.0,4.0,6.0,5.0,8.0,7.0,9.0,0.137502966782
89,18.0,14.0,22.0,23.0,25.0,24.0,15.0,21.0,0.522541181388
90,13.0,18.0,15.0,11.0,17.0,19.0,15.0,15.0,0.37004744793
91,14.0,12.0,18.0,19.0,11.0,12.0,12.0,12.0,0.303165589669
